序号,标准编号,标准名称,英文名称,状态,中国标准分类号（CCS）,国际标准分类号（ICS）,发布日期,实施日期,主管部门,归口单位,发布单位,备注
6,GB/T 39274-2020,公共安全视频监控数字视音频编解码技术测试规范,Test specifications for video and audio encoding and decoding in video surveillance system for public security,即将实施,A91,13.310,2020-11-19,2021-06-01,公安部,全国安全防范报警系统标准化技术委员会,国家市场监督管理总局、中国国家标准化管理委员会,
7,GB/T 6096-2020,坠落防护 安全带系统性能测试方法,Fall protection— Performance test methods for fall protection systems,即将实施,C73,13.340.99,2020-11-19,2021-06-01,应急管理部,全国个体防护装备标准化技术委员会,国家市场监督管理总局、中国国家标准化管理委员会,
8,GB/T 39404-2020,工业机器人控制单元的信息安全通用要求,Information security general requirement for control unit of industrial robot,即将实施,J28,25.040.30,2020-11-19,2021-06-01,中国机械工业联合会,全国自动化系统与集成标准化技术委员会,国家市场监督管理总局、中国国家标准化管理委员会,
9,GB/T 29471-2020,食品安全检测移动实验室通用技术规范,General specification for mobile laboratory of food safety inspection,即将实施,X00,67.050,2020-11-19,2021-06-01,国家标准化管理委员会,全国移动实验室标准化技术委员会,国家市场监督管理总局、中国国家标准化管理委员会,
10,GB/T 20801.6-2020,压力管道规范 工业管道 第6部分：安全防护,Pressure piping code—Industrial piping—Part 6:Safeguarding,即将实施,J74,23.040,2020-11-19,2021-06-01,国家标准化管理委员会,全国锅炉压力容器标准化技术委员会,国家市场监督管理总局、中国国家标准化管理委员会,
序号,标准编号,标准名称,英文名称,状态,中国标准分类号（CCS）,国际标准分类号（ICS）,发布日期,实施日期,主管部门,归口单位,发布单位,备注
1,GB/T 39493-2020,燃气燃烧器和燃烧器具用安全和控制装置  特殊要求  压力调节装置,Safety and control devices for gas burners and gas-burning appliances—Particular requirements—Pressure regulators,即将实施,P45,91.140,2020-11-19,2021-10-01,住房和城乡建设部,住房和城乡建设部,国家市场监督管理总局、中国国家标准化管理委员会,
2,GB/T 39488-2020,燃气燃烧器和燃烧器具用安全和控制装置  特殊要求  电子式燃气与空气比例控制系统,Safety and control devices for gas burners and gas-burning appliances—Particular requirements—Electronic type gas and air ratio control system,即将实施,P45,91.140,2020-11-19,2021-10-01,住房和城乡建设部,住房和城乡建设部,国家市场监督管理总局、中国国家标准化管理委员会,
3,GB/T 39485-2020,燃气燃烧器和燃烧器具用安全和控制装置 特殊要求 手动燃气阀,Safety and control devices for gas burners and gas-burning appliances—Particular requirements—Manual gas valves,即将实施,P45,91.140,2020-11-19,2021-10-01,住房和城乡建设部,住房和城乡建设部,国家市场监督管理总局、中国国家标准化管理委员会,
4,GB/T 39403-2020,云制造服务平台安全防护管理要求,Security protection management requirements of cloud manufacturing service platform,即将实施,J07,35.240.50,2020-11-19,2021-06-01,中国机械工业联合会,全国自动化系统与集成标准化技术委员会,国家市场监督管理总局、中国国家标准化管理委员会,
